cr_film_id,url,title,original_title,year,film_lang,preferred_lang_class,suggested_display_name,review_reason,candidate_count,lang_counts,best_upload_title,best_upload_id,best_resolution_hint,best_view_count,tmdb_id,imdb_id,imdb_rating
37288,https://ceskarepublika.wiki/filmy-online/tom-clancy-s-jack-ryan-valka-duchu,Tom Clancy's Jack Ryan: Válka duchů,Tom Clancy's Jack Ryan: Ghost War,2026,,CZ_DUB,Tom Clancy's Jack Ryan: Válka duchů (2026) CZ Dabing,ready: source title marks Czech dubbing,9,CZ_DUB:5;CZ_SUB:2;CZ_NATIVE:2,Tom Clancy's Jack Ryan: Ghost War 2026 1080p CZ Dabing,3c4309b7ee943f04,1080p,146,1380291,tt34378301,5.8
26644,https://ceskarepublika.wiki/filmy-online/spasitel,Spasitel,Project Hail Mary,2026,,CZ_DUB,Spasitel (2026) CZ Dabing,ready: source title marks Czech dubbing,51,CZ_DUB:8;CZ_SUB:16;CZ_NATIVE:2;UNKNOWN:25,Spasitel   novinka   2026   Cz dabing   2160p   .mkv,3afb009e3b7f22e5,2160p,343,687163,tt12042730,8.3
27616,https://ceskarepublika.wiki/filmy-online/mortal-kombat-ii,Mortal Kombat II,,2026,,CZ_DUB,Mortal Kombat II (2026) CZ Dabing,ready: source title marks Czech dubbing,34,CZ_DUB:1;CZ_SUB:16;CZ_NATIVE:1;UNKNOWN:16,mortal kombat ii mov 2026 4K CZ Dabing.mp4,2129e20ac7d86dd3,,729,931285,tt17490712,6.7
31702,https://ceskarepublika.wiki/filmy-online/michael-2026,Michael,,2026,,CZ_DUB,Michael (2026) CZ Dabing,ready: source title marks Czech dubbing,9,CZ_DUB:1;CZ_SUB:6;UNKNOWN:2,Michael - 2026 cz dabing.mkv,d618251ea02a98f7,,342,936075,tt11378946,7.7
34438,https://ceskarepublika.wiki/filmy-online/lee-cronin-mumie,Lee Cronin: Mumie,Lee Cronin's The Mummy,2026,,CZ_DUB,Lee Cronin: Mumie (2026) CZ Dabing,ready: source title marks Czech dubbing,23,CZ_DUB:13;CZ_SUB:9;UNKNOWN:1,Lee Cronin - Mumie (2026) 1080p horor.CZ DABING,93f578c4870435bb,1080p,10262,1304313,tt32612507,6.3
37209,https://ceskarepublika.wiki/filmy-online/krev-meho-srdce,Krev mého srdce,My Dearest Assassin,2026,,CZ_DUB,Krev mého srdce (2026) CZ Dabing,ready: source title marks Czech dubbing,5,CZ_DUB:4;UNKNOWN:1,Krev mého srdce 2026 CZ dab 1080p,08958d38aeb5b8f6,1080p,404,1630423,tt39749979,5.7
37251,https://ceskarepublika.wiki/filmy-online/kdyz-se-zhasne,Když se zhasne,,2026,,CZ_DUB,Když se zhasne (2026) CZ Dabing,ready: source title marks Czech dubbing,4,CZ_DUB:3;UNKNOWN:1,Když se zhasne (2026) CZ dab.mkv,5c9a3b6a3bef1f3c,,1257,1588586,tt37879342,4.6
37268,https://ceskarepublika.wiki/filmy-online/gary,Gary,,2026,,CZ_DUB,Gary (2026) CZ Dabing,ready: source title marks Czech dubbing,8,CZ_DUB:2;UNKNOWN:6,Gary 2026 CZ dab 1080p,6bf50f363e686873,1080p,,1688652,tt42373968,7.6
37293,https://ceskarepublika.wiki/filmy-online/bouracka,Bouračka,The Crash,2026,,CZ_DUB,Bouračka (2026) CZ Dabing,ready: source title marks Czech dubbing,5,CZ_DUB:2;CZ_SUB:3,Bouračka (2026) CZdab,c6a71ac934817506,,280,1662317,tt40792117,6.6
37277,https://ceskarepublika.wiki/filmy-online/ve-stinu-mesta,Ve stínu města,Outerlands,2025,,CZ_DUB,Ve stínu města (2025) CZ Dabing,ready: source title marks Czech dubbing,2,CZ_DUB:2,Ve stínu města (2025) CZ Dabing 1080p.mkv,1212870dac3d9c63,1080p,,1422013,tt35319790,5.6
